Speaker;Party;Country;Quote;date;Subject;Author;Questions and Answers
Diogo Feio;EPP;PT;writing voted favour resolution protocol partnership agreement fishery european community republic kiribati european vessel benefit including portuguese voted sustainable exploitation marine resource country affect fishing fleet union local economy partnership european union enables republic kiribati increase capacity employability sector protect diversity renewal marine specie;20/11/2013;;;
Jose Manuel Fernandes;EPP;PT;writing new protocol fishery partnership agreement app republic kiribati completed september 2015 allow access portuguese vessel spanish french water exclusive economic zone pacific republic hand new protocol based objective fishery partnership agreement aim strengthen cooperation promote partnership framework development sustainable fishery policy responsible exploitation aloietic resource party framework support warning cooperation pacific island country management catch water encouraged damaged resource island benefit;20/11/2013;;;
Monika Flasikova Benova;PES;SK;writing proposal renewal protocol fishery partnership agreement european union republic kiribati new protocol year main step strengthen mutual cooperation side responsibility focus aspect sustainable fishery appropriate use resource new protocol establishes total financial contribution eur 4428 000 protocol respect neutrality establishment binding regional agreement signed pacific developing country returned kiribati;20/11/2013;;;
Ian Hudghton;Greens/EFA;UK;voted protocol question legality importantly question eu continued policy promoting european fleet fishing opposite planet;20/11/2013;;;
Juozas Imbrasas;EFD;LT;write agree rapporteur recommendation reject protocol negotiate new protocol commission fully account provision west mediterranean fishery commission wcpfc nsc belonging kiribati protocol support dprk breach rule wcpfc relevant rff addition broken market fishing right kiribati region sufficient income protocol harm small island developing state effort manage use tuna resource increase income contributed management sustainable tonne resource west middle ramia river;20/11/2013;;;
Philippe Juvin;EPP;FR;writing supported colleague isabella lovin report defines new protocol access fishing area kiribati european fleet 2015 protocol supported government kiribati mutually beneficial welcome adoption report;20/11/2013;;;
Barbara Matera;EPP;IT;writing voted favour mr lovin report eukiribat ethical partnership agreement stressing need provide support country protection intellectual resource particular tonnage given kiribati founded fishery economy necessary country provides partnership agreement ethical sector implement sustainable respectful policy delicate balance seafaring;20/11/2013;;;
Veronique Mathieu Houillon;EPP;FR;writing voted favour partnership agreement kiribati protocol respect condition laid wcpfc regional fishery organisation;20/11/2013;;;
JeanLuc Melenchon;GUE/NGL;FR;writing fishing global fish consumed fished europe fish consumed imported model suit ask relocation short circuit production participative environmental planning work carried agreement european union producer country high environmental social level clearly case democratic republic kiribati virtually resource fishing activity exclusive economic zone eea signing agreement kiribati violate nauru agreement coordinating management fishery eeas deprived halibutic resource voted taking pill;20/11/2013;;;
Willy Meyer;GUE/NGL;ES;writing voted favour report result fair negotiation process european union republic kiribati report provides improvement protocol 1 325 eur 000 year support kiribati fishery policy report collect agreement allowing access exclusive economic zone kiribati kiribati signed series agreement tuna fishing agreement provides obligation comply sustainability criterion ongoing activity water country vessel coming portugal spain france sail water referred decided vote favour report;20/11/2013;;;
Louis Michel;ALDE;BE;writing welcome agreement concluded european union republic kiribati fair collaboration exchange financial contribution eu able exploit haitian resource republic kiribati community vessel agreement provides partnership framework ensure development sustainable fishery policy responsible exploitation resource addition fishery sector essential country economy development agreement foreign vessel generate 20 30 cent national revenue country show lowest gdp caput region developed acp state agreement essential development country ensure fishery sector sustainable sector;20/11/2013;;;
Younous Omarjee;GUE/NGL;FR;writing report signing eukiribat island partnership agreement agreement european vessel granted exclusive fishing right year exclusive economic zone kiribati island economically beneficial european union agreement bad sustainable management halibutic resource pacific ocean fishing capacity area area going effort small island state pacific manage exploitation resource risk changing fishing capacity certain ptoms including new caledonia french polynesia wallisetfutuna decided vote report;20/11/2013;;;
Maria do Ceu Patrao Neves;EPP;PT;writing present report aim establish new protocol partnership agreement area fishery european union kiribati island state central pacific ocean western central pacific region important area tuna fishing representing 55 world catch specie eu tuna fleet strong fishing region coastal flagship vessel operating area end 1990s threeyear protocol grant access water quiribati 10 eu fishing vessel neighbourings flagmen corresponding annual reference tonnage 15 000 tonne eu total financial contribution eur 4428 000 distributed eur 3975000 accessing eee kiribati eur 453000 support sectoral fishery policy voted favour report considering protocol quite balanced beneficial party allowing continued activity european tuna fleet opening prospect national fleet strengthening eu strategic presence pacific region;20/11/2013;;;
Maurice Ponga;EPP;FR;writing voted favour new fishery protocol european union kiribati pleased eu parliament authorized ratification agreement fact important european union present peaceful region promote protocol establishment responsible sustainable fishery new protocol european union allocate eur 1325 million year kiribati total eur 4428 million threeyear period important resource contribute economic development kiribati strongly dependent public development assistance;20/11/2013;;;
Sergio Paolo Francesco Silvestris;EPP;IT;writing nauru agreement kiribati signatory country established ensure coordinated management fishery resource eeas member increase benefit member negotiated number implementing agreement undermine minimum condition licence provision monitoring ship vessel area closed fishing restriction equipment ship obligation scope observation application arm purchase exchange fishing day sea access water contracting party united nation agreement itic stock ratified eu kiribati call state cooperate order enhance capacity developing state particular developed small island developing country preserve manage transzoneal highly migratory fish stock overcapacity excessive fishing effort key issue addressed region sense eu actively support current regional action aimed addressing overcapacity limiting fishing effort;20/11/2013;;;
Catherine Stihler;PES;UK;voted favour eckiribati fishery partnership agreement want economic development foreign country outside eu instance fishing opportunity tuna vessel;20/11/2013;;;
Kay Swinburne;ECR;UK;welcome continuation fishery agreement eu kiribati south pacific voted favour resolution;20/11/2013;;;
Antolin Sanchez Presedo;PES;ES;writing socialist rapporteur voted favour protocol european union republic kiriwati issued commission 3 june 2012 protocol set fishing opportunity financial collateral shall apply provisionally 16 september 2012 shall period year fishery agreement kiriwati 2003 allowed presence european fleet pacific new protocol develops 2007 fishery cooperation agreement enables european vessel cruiser carry responsible exploitation resource exclusive economic area kiriwati contributes development sustainable fishery policy financial contribution amount eur 1325 000 year period including eur 350000 annum additional support kiriwati fishery sector protocol according conclusion parliament legal report compatible nauru agreement multilateral nature country area establishing vd methodology vessel day scheme provided implemented accordance international commitment undertaken eu european commission express commitment regard;20/11/2013;;;
Marc Tarabella;PES;BE;writing new protocol partnership agreement app kiribati provides fishing opportunity territorial water kiribati spanish french portuguese vessel 16 september 2012 15 september 2015 join rapporteur belief protocol addition title natural knowledge effort small island developing state eid manage exploitation tonsile resource increase revenue resource generate allow condition contribute sustainable management tuna resource western eastern pacific ocean;20/11/2013;;;
Nuno Teixeira;EPP;PT;writing new protocol fishery partnership agreement app set fishing opportunity financial contribution provided partnership agreement fishery european union republic kiribati protocol allow access spanish french portuguese ship water quiribati 16 september 2012 15 september 2015 voted favour parliament document approving holding protocol;20/11/2013;;;
SilviaAdriana Ticau;PES;RO;writing voted draft decision conclusion protocol establishing opportunity financial contribution provided partnership agreement european community republic kiribati hand new protocol partnership agreement fishery app concluded kiribati provides access spanish french portuguese vessel water republic kiribati 16 september 2012 15 september 2015 invite commission transmit parliament verbatim process conclusion joint committee meeting provided article 10 agreement multiannual sectoral programme referred rule 3 protocol annual evaluation commission facilitate participation parliament representative observer meeting joint committee consider important year implementation protocol start negotiation renewal commission present parliament council assessment report application protocol ask council commission respective competence inform parliament fully delay stage procedure relating new protocol renewal accordance article 13 2 ofthe treaty european union article 218 10 treaty functioning european community tfeu;20/11/2013;;;
Angelika Werthmann;ALDE;AT;writing author explains situation public concern regard fishing expenditure middle west pacific shiptoday regulates number day fishing help small island state increase income small island act precautionary measure overfishing constitution object protocol large shipowner benefit contribute little improving sustainable management fishing stock;20/11/2013;;;
Anna Maria Corazza Bildt;EPP;SE;madam president today time parliament voted right decide meet historic breakthrough paved way treaty change active member single seat steering group committed effective parliament european citizen asking understand accept waste eur 150 million 19 000 tonne co2 year travelling circus brussels strasbourg majority parliament voted favour saving mean single seat let emphasise vote france vote strasbourg vote favour costefficient parliament decides calendar stand ready pursue constructive dialogue want viable solution european institution seat deadlock broken time member state act shared responsibility;20/11/2013;;;
Mitro Repo;PES;FI;mr president parliament monthly family gradation holy leave brussels strasbourg symbol eu surprise financial collapse fear oil spill act morning choice national politician euro area people point view strasbourg railway financial disaster dropped absurdity meeting strasbourg beautiful idea beginning symbol course important limit european parliament longer symbol real user lisbon treaty position democratic line commission council minister close animal control going end talk way parent rest century going european parliament land france destroyed;20/11/2013;;;
Davor Ivo Stier;EPP;HR;thank madam president voted report british colleague cox think unfair attempt say report strasbourg parliament decides seat honestly people say corner door message intended sitting strasbourg consider extremely wrong strasbourg real symbol peace europe symbol change policy europe rejected logic confrontation reconciliation believe insist keeping logic past future eu peace;20/11/2013;;;
Zdravka Busic;EPP;HR;madam president actually looking seat european institution point view economic political important symbolic place economic reason report guided populistic need upcoming election case important symbolic level strasbourg randomly selected ep seat city history seat conflict war political one symbol peace agreement today coming country past suffered aggression country free say understand importance symbol believe message contains possible argument set report voted report;20/11/2013;;;
Oleg Valjalo;PES;HR;thank presidentinoffice heart heart rapporteur good work independence legal quality report support support simple report concern parliament sit strasbourg far brussels certain number representative report nt contain economic component long saved ongoing journey brussels strasbourg emphasizes european parliament need repeat decide going work report emphasizes parliament given right legislator lisbon treaty basis entitled adopt working principle accordance sound understanding general accepted principle shared authority legislative responsibility adult democracy believe fight discrimination council commission parliament sake balance wellbeing citizen parliament confirm position process place eu directly selected body primary objective represent citizen interest;20/11/2013;;;
Vicky Ford;ECR;UK;madam president yesterday voted budget european parliament seven year voted budget cut decide money spent better spent monthly trip parliament waste time energy waste money gbp 928 million think money vast majority member house voted stop seat 121 member voted say think school think hospital doctor teacher examine heart letting people represent prepared iconic waste money president hollande chancellor merkel listen people stop wasting money;20/11/2013;;;
Charles Tannock;ECR;UK;madam president issue power unite side house like embarrassment scandalous waste strasbourg circus month month lorry train arrive personnel paper equipment needed sustain duplicate parliament day later disappear leaving building issue irony hypocrisy voting cut eu budget preaching fiscal responsibility million citizen whilst sit superfluous chamber throw away eur 200 million yearly go heart democratic accountability obligation elected representative work wish service people represent member state government determined thwart view vast majority eu citizen government ground naked selfinterest distant forgotten symbolism let consign past worst excess eu scandalous waste maintaining duplicate parliament let decide work france germany wake;20/11/2013;;;
Bernd Posselt;EPP;DE;madam president distribution job parliament seat strasbourg read contract cost 7 12 cent eu citizen queen cost briton confident focusing entirely strasbourg change contract nt plenary room brussels oldfashioned suitable permanent plenary actually plant 1 billion eur build new plenary hall beautiful brussels perfect strasbourg salvation estimated member want parliament right discover heart parliament right immediately sound alarm bell noise happens certain motif really transparent overarching world decision main issue constitutionality eu constitutionalist state say clearly appeal state remain strasbourg symbol peace multiculturality sign diversification anticircumvention notice intention agreed;20/11/2013;;;
Anna Zaborska;EPP;SK;voice opposed quoted text suffering proposal financing financial space view include requirement make good use existing building parliament longterm promoter proposal cover remaining expenditure started long time ago house european history restructuring luxembourg proposal entire campaign sole purpose author website european parliament voted text ignores unique symbol european integration text mean peniaze current personal popularity mean ambassador viac relationship world war text go parent child;20/11/2013;;;
Claudette Abela Baldacchino;PES;MT;despite historical development eu symbolic value believe longer accept fact parliament located different seat aside practical environmental reason trustworthy eu institution spend significant share budget logistical procedure especially time budgetary constraint parliament able decide location advocated parliament year time council;20/11/2013;;;
Luis Paulo Alves;PES;PT;writing adoption present report seat selected seat subject delicate political commitment report focus seat european parliament play distinct unique role given institution directly elected european citizen responsible issue role creation recorded significant change institution regard increased competence responsibility particularly entry force treaty lisbon placed european parliament time council given role colegislator significantly changed way functioning working method believe order fulfil function assigned treaty respond expectation constituent parliament enjoy right organise modern appropriate manner initiate process amend article 341 protocol n 6;20/11/2013;;;
Laima Liucija Andrikiene;EPP;LT;write voted favour resolution area residence european union institution eu treaty provides main ep building strasbourg plenary session held year treaty lisbon provides right parliament initiate amendment eu treaty member european parliament agree principle conservation efficiency environmental policy respected member state strict storage policy necessary raise fund travel brussels strasbourg figure additional cost resulting geographical location ep 156 204 million eur 10 annual eu budget agree rapporteur conclusion order parliament carry function treaty correct expectation voter need right organise activity timely appropriate manner initiate ordinary procedure review contract granted parliament matter relating internal organisation calendar time question place residence;20/11/2013;;;
Sophie Auconie;EPP;FR;writing report establishment seat european union institution really happy deal issue seating european parliament based antistrasbourg priority extremely controversial figure voted mean debate subject opposed necessary real debate honesty impartial benefit disadvantage location european institution finally recalled issue included european treaty amendment accepted member state order valid applied day;20/11/2013;;;
Zigmantas Balcytis;PES;LT;write voted favour proposal place residence european union institution objective proposal amend eu treaty european parliament ep decide place work cost resulting ep travel brussels strasbourg 200 million eur 10 parliament annual budget plenary session 5000 staff member missing day way work addition 89 parliament seat strasbourg used time hot staff work year year order ep decide meeting place necessary amend existing eu treaty agree number fund saved contract amended parliament fully properly carry democratic function time parliament work effectively efficiently;20/11/2013;;;
Francesca Barracciu;PES;IT;writing discussion various seat european institution specifically parliament operating cost constant subject debate house high external medium attention community public opinion believe parliament right decide headquarters organisation functioning allow respond effectively doubt criticism constantly raised current situation cost situation deserves indepth discussion historical political reason determine choice seat european institution requires answer efficient solution reaching single seat parliament today antihistoric look forward future;20/11/2013;;;
Mara Bizzotto;EFD;IT;writing voted favour text second seat european parliament unacceptable spring fight continue beat constantly;20/11/2013;;;
Philippe Boulland;EPP;FR;writing voted report establishment seating european institution represents symbol complex ideological unrethinkable work order make economy british eurosceptic meps able sufficient support ask seat parliament world false figure cost strasbourg parliament cost eur 51 million eur 55 million year 0 budget 10 cent year caput course make saving want destroy symbol france 10 percent year forget parliament report mistake particular enable conservative english member benefit destruction european symbol surprised french environmental meps centralists vote strasbourg headquarters order reduce environmental impact strasbourg lowest european institution brief bad report;20/11/2013;;;
Jan Brezina;EPP;CZ;writing voted favour resolution european parliament right decide seat time budgetary discipline carried eu taking urgent measure ensure european parliament look way reduce cost avoid excessive loss current seat european parliament ineffective luxury afford eu additional cost arising geographical breakdown seat european parliament shall estimated minimum eur 200 million shall account approximately 10 annual budget view need transport 5 000 meps 8 european parliament personnel plenary meeting document current situation source remaining environmental organisational logistical cost additional co2 emission estimated 11 000 19000 tonne parliament building strasbourg currently use 89 time 42 day year printing staff maintenance ensured year;20/11/2013;;;
Alain Cadec;EPP;FR;writing voted hafner fox report seat european institution report proposes unique place operation european parliament reimburses sole seat strasbourg european legislation review seating european institution decision eu member state;20/11/2013;;;
Antonio Cancian;EPP;IT;writing voted favour report provides reduction financial environmental organisational logistical impact current deployment eu institution report given present context budgetary austerity member state plan save resource eliminate superfluous expenditure setting sole seat european parliament brussels isolation institution cost geographical dispersion parliament environmental impact constitutional issue ep right determine organisation support citizen 127 million people signed application asking single seat ep report proposes parliament undertake undertake ordinary review treaty order decide location seat internal organisation court auditor asked provide complete analysis potential saving eu budget parliament brussels sole seat presidency office european parliament invited request eurobaromater conduct survey opinion eu citizen matter;20/11/2013;;;
Lara Comi;EPP;IT;writing voted favour resolution time time strongly support european parliament action eliminate seat define situation changed soon possible maintaining seat plausible justification especially great information campaign raised environmental problem disproportionate cost needed maintain current situation addition important request submitted european citizen call responsibility urge continue fight achieve important result;20/11/2013;;;
Rachida Dati;EPP;FR;writing voted report responsible parliament sends bad signal citizen european faced consequence crisis parliament better able deal institutional issue;20/11/2013;;;
Marielle de Sarnez;ALDE;FR;writing european union treaty strasbourg seat european parliament historical symbolic reason strasbourg rule brussels exception change seat european parliament effected decision adopted unanimously council case court stated december 2012 european parliament legitimacy possibility deciding sits vote taken plenary absolutely useless time crisis parliament encouraged focus real issue european life;20/11/2013;;;
Christine De Veyrac;EPP;FR;writing voted text order defend interest strasbourg seat european parliament alsacian capital city european dimension promising seat council europe established 1949 1998 european court human right absence deletion parliament seat strasbourg remain france founding member eu reality figure attributed fact ngo published number financed clearly opposed political party strasbourg headquarters activity live economy generate nonexhaustive return hotel restaurant trader region basrhin unemployment rate continues grow 9 today insee 2nd quarter 2013 retirement european parliament seat step local economy ca nt support text;20/11/2013;;;
Edite Estrela;PES;PT;writing voted favour report location headquarters european union institution consider important make review process possible treaty propose necessary change european parliament decide seat currently set member state consensus view greater rationalisation economic environmental cost;20/11/2013;;;
Jill Evans;Greens/EFA;UK;supported proposal hailed step forward parliament demand decide seat call parliament initiate procedure treaty change achieve seat campaign member gathering momentum know speak school college community group wale horrified circus story costly wasteful environmentally damaging inefficient hope demand change constituent wale increase like country end practice undermines eu;20/11/2013;;;
Diogo Feio;EPP;PT;writing voted favour considering resolved location european parliament member house right vote decide meet member state insensitive position adapt treaty accordance believe european political agent seek understand majority civil society feeling provide example making significant contribution reducing cost operation parliament presence activity justified brussels;20/11/2013;;;
Jose Manuel Fernandes;EPP;PT;writing new time demand efficient response resource recovery relevant analyse cost benefit ratio term geographical dispersion headquarters workplace european union institution particular regard european parliament according budget estimate european parliament 2014 expenditure directly related dispersion job estrasburg brussels luxembourg eur 169 million eur 204 million year 2011 time spent monthly transfer plenary session estimated 69 562 day case official agent represents expenditure 16 652 eur 490 31 316 day case accredited parliamentary assistant equivalent 5 944 eur 724 bearing mind definition headquarters institution place work exclusive matter member state regulated treaty support initiative promote study analysis geographical dispersion ignoring financial economic implication result change matter;20/11/2013;;;
Joao Ferreira;GUE/NGL;PT;writing report address political issue location european parliament headquarters functioning parliament brussels strasbourg monthly migration inherent inquisitively focus growing critical attention public perception come generalise regular transfer cost involved excessive unfair report rapporteur reiterate need parliament recognized matter priority determining work locality point prohibited treaty clearly state european parliament seat strasbourg plenary session held including budget session additional plenary session held brussels european parliament committee meet brussels general secretariat european parliament service shall remain luxembourg provision intended amended revision treaty allowing parliament decide place seat internal organisation fully follow set argument aligned issue clear amendment area allow reduction unnecessary unfair cost;20/11/2013;;;
Monika Flasikova Benova;PES;SK;writing issue placement european institution memorable sensitive issue case necessary reach political compromise idea european parliament residence institution european citizen time economic social crisis member state forced accept deferred budget think european parliament treat small mediumsized people equally restrict flow financial resource organisation european parliament seat area great support need deny context petition submitted past european union express demand end european parliament stay city;20/11/2013;;;
Lidia Joanna Geringer de Oedenberg;PES;PL;ep directlyelected eu institution meps long requesting allowed decide meet unfortunately appeal granted current eu treaty treaty changed adapt presentday circumstance current reality eur 156 million eur 204 million 19 000 tonne co2 spent year parliament geographic dispersion ending multiple seat arrangement way forward ensure greater efficiency responsibility institution budgetary environmental term key achievement campaign illustrated current report report asking invoke parliament new power article 48 lisbon treaty propose treaty change parliament right decide seating arrangement report answer appeal 127 million eu citizen signed online petition calling single seat illustrates effort majority meps repeatedly consistently voted favour single seat break free taken hostage member state;20/11/2013;;;
Robert Goebbels;PES;LU;writing voted foxhafner report seat european parliament treaty court justice remains strasbourg symptomatic essentially british member willing leave european union want change seat parliament recognize useful argument seat european parliament brussels ridiculous member travel strasbourg brussels result greenhouse gas emission member think producing co2 set good example refusing participate hundred delegation european parliament political group send year continent good luck;20/11/2013;;;
Charles Goerens;ALDE;LU;writing 2012 european parliament decided build apartment need luxembourg kirchberg district price new building eur 450 million 2013 european parliament adopting report ashley foxgerald haffner favour process aimed completing parliament activity strasbourg luxembourg concentrate activity brussels impact decision making cross strasbourg luxembourg place work excluding european capital considerable economic loss limited brussels place security reason longer possible hold session hemisphere purpose year aspect led vote report incoherence monument;20/11/2013;;;
Bruno Gollnisch;NI;FR;writing antistrasbourg lobby victory today adopting report winner mortgage lobby removed brussels seat call view going fool lobby voluntarily qualifies hold session strasbourg movement starting circa debate vote report claim interested seat interested existence administrative service parliament luxembourg responsible management majority based staff brussels concerned european taxpayer money saved useful ask commission account disseminating useless agency europe small gift certain city country yes single seat european parliament strasbourg activity grouped strasbourg growing location certain activity brussels complexity lack response 25 year french government law left condemned;20/11/2013;;;
Sylvie Goulard;ALDE;FR;writing belongs parliament composed elected representative direct universal suffering decide sovereignty place meeting point fox report voted today go right direction disappointed essential reconcile different imperative hand facilitate parliament work including interlocutor council commission civil society brussels end cost incurred monthly hand preserve symbolic size strasbourg movement member cease year saved fund sufficient fund independent european foundation organize strasbourg european parliament premise european place debate exchange idea civil society young people elite unionist ngo improve work reflection europe history approach european people role europe world;20/11/2013;;;
Sylvie Guillaume;PES;FR;writing rejected report attack headquarters strasbourg mandate carried seat european institution report based erroneous argument arguing parliament able speak seat situation known comparable law result change seat political majority draw deal history european construction time memory necessary face disturbing evolution europe nationalism extremism finally argument type report contribute fight ecoscepticism environment fatal take source far deeper reason question parliament seat strasbourg poverty poverty continue grow europe role parliamentarian interested solution allow path growth waste time type stereotyping;20/11/2013;;;
Brice Hortefeux;EPP;FR;writing point frustration vote report eu institution object turned aside european parliament single seat opposed strasbourg surprised meps spending productive time issue citizen asking mobilize force combat unemployment save business economic recovery member complain love institution help citizen forget campaign based degeneration lie mainly carried british member critical position european construction project known stage original ambition founding father fear face europe symbol european project gradually deconstructed game really like europe eventually taken account;20/11/2013;;;
Juozas Imbrasas;EFD;LT;write support resolution european parliament call given right decide ep meeting held present article eu treaty amended eu member state state main ep residence strasbourg plenary session held year despite decision eu state lisbon common place residence lisbon treaty gave parliament power initiate amendment treaty resolution adopted ep committed initiate amendment contract allow decide place employment think european parliament effective efficient environmentally sound residence;20/11/2013;;;
Philippe Juvin;EPP;FR;writing strongly opposed colleague ashley fox gerald hafner text contains legal error clearly raise issue drafting report initiative paragraph 4 requiring parliament decide establishment seat internal organisation founded treaty establish seat institution geographical definition parliament seat set protocol 6 treaty lisbon text threat legitimacy european parliament eu given violent attack institution directly elected european citizen responsible politically report tool try destroy headquarters strasbourg fully regret adoption text;20/11/2013;;;
