Speaker;Party;Country;Quote;date;Subject;Author;Questions and Answers
Paloma Lopez Bermejo;GUE/NGL;ES;writing ecuador entry free trade agreement test europe us trade treaty force developing country peripherally integrated world trade signing trade agreement colombia peru negative effect term labour right landharvesting productive demining country export ecuador avoided forced sign agreement order avoid balance payment crisis effect agreement negative long term ecuador voted;14/12/2016;;;
Antonio LopezIsturiz White;EPP;ES;writing virtue text parliament approved ecuador accession trade agreement european union colombia peru held 2012 present ecuador difficult situation resulting strong decline oil price appreciation united state dollar depreciation currency tragic magnitude 78 april year accession trade agreement beneficial faster recovery country accession negotiation include ecuador noted november 2015 parliament adopted resolution welcomed establishment negotiation ecuador encouraged rapid entry force accession vote favour believe agreement allow ecuador continue line continuing promote sustainable economic social development policy;14/12/2016;;;
Petr Mach;EFDD;CZ;writing voted agreement agreement ecuador accession eusouth american free trade agreement support eu ecuador trade good service purpose;14/12/2016;;;
Ivana Maletic;EPP;HR;pressed trade agreement european union member state colombia peru signed brussels 2012 year european parliament adopted legislative resolution agreed conclude agreement article 329 trade agreement provides possibility accession member state andean community agreement eu ecuador concluded 2014 negotiation access end year ecuador lose osp status negative impact economy accession ecuador agreement trade colombia peru progressive flexible implementation step forward conclusion link important country experiencing rapid growth region supported recommendation;14/12/2016;;;
Andrejs Mamikins;PES;LV;committee international trade adopted draft council decision conclusion behalf union protocol accession trade agreement european union member state colombia peru account accession ecuador european parliament consent conclusion protocol support position;14/12/2016;;;
Vladimir Manka;PES;SK;writing ep agrees accession ecuador agreement trade european union member state hand colombia peru onthe ecuador great economic problem cooperation fall price opium achieved year earthquake agreement help ecuador economy present commission monitor implementation agreement time inform parliament achievement observation impact agreement mutual trade;14/12/2016;;;
Notes Marias;ECR;EL;writing support proposal council decision conclusion behalf union protocol enter trade agreement european union member state respectively colombia peru account accession sufficiently documented;14/12/2016;;;
David Martin;PES;UK;free trade agreement boost trade eu ecuador contribute improving labour right environmental standard country provision trade sustainable development chapter voted favour agreement;14/12/2016;;;
Dominique Martin;ENF;FR;writing voted report report aim approve european parliament ecuador accession 2012 trade agreement eu latin american country colombia peru accession ecuador benefit new substantial access european union market banana sector consider disadvantage producer overseas region banana important source income;14/12/2016;;;
Fulvio Martusciello;EPP;IT;voted favour report eucolombia peru trade agreement accession ecuador agreement crucial strengthening eu relation strategic south american partner colombia peru ecuador time agreement prof beneficial people country involved open progressive market good service government investment abolition tariff importantly agreement allow economic political integration andean region enhancing cooperation term democratic principle fundamental right report worth supporting actor involved benefit agreement;14/12/2016;;;
Emmanuel Maurel;PES;FR;writing unlike various euafrica partnership agreement systematically opposed ecuadoran protocol accession colombiaperu agreement development agreement asymmetrical resolution 17 year age ecuadorian market open 60 95 european market taking account need ecuador way able accompany social effort government korea translate increase gdp 0 5 equation time agreement enable european industry producer build ecuadorian market access public market wide custom duty significantly reduced car sector hundred european controlled call recognised operating high tariff discount entry price european market ecuadorian banana fixed eur 75tonne agreement pose risk antillasi banana sector health crucial wellbeing territory true stability mechanism specifically dedicated banana soon strengthened allowed doubt applicability getting away;14/12/2016;;;
Kostas Maurides;PES;EL;writing support council draft decision conclusion behalf union protocol enter trade agreement european union member state hereinafter colombia peru year account accession today believe accession isoday trade agreement colombia peru progress flexibility commission based preliminary accession member country origin origin taking account date accession equidae equine animal breeding animal bovine animal bovine specie bovine origin period birth traditionally fish fish particular water fish specific stock specie fish water respond stock type carry transferable specie result creation state recognition local water later exclusive economic zone;14/12/2016;;;
Georg Mayer;ENF;AT;writing trade agreement eu colombia peru signed 2012 signed country august august commission implementing regulation eu 13082013 11 march 2013 laying detailed rule application regulation european parliament council oj l 347 20122013 p 1 ecuador seeking accede agreement important continued price deficit land oil represents 60 country export dollar increase business main export partner developed set economy state revenue addition ecuador lose aps standard december 2016 severely restricted potential trade eu country export good value 12 billion dollar half united state main trading partner south american country economic consequence eu reliable agreement actually make symbolic value brought report attention;14/12/2016;;;
Mairead McGuinness;EPP;IE;voted favour report creates stronger trade link andean country;14/12/2016;;;
JeanLuc Melenchon;GUE/NGL;FR;writing year explain danger free trade agreement latin america agreement colombia peru step breaking alliance opposed conclusion negotiation ecuador believe greatly strengthened pressure singing brussels lobbying government rafael correa agreement reiterates liberalism liberalization service market demanding important nontariff barrier social environmental standard free european exporter industrial fishery product ecuador european multinationals mining sector agriculture clearly seen contrast small ecuadorian farmer directly threatened small banana producer face chiquita gene practice environmental dumping landscaping brief year promotion cooperation ecuadorian social model good vivir voted;14/12/2016;;;
Joelle Melin;ENF;FR;writing agreement tends accept ecuador accession trade agreement 2012 linking eu colombia peru provides deleted custom duty liberalisation service market opening public market addition ecuadorn fishing longer subject custom duty ecuador able benefit important access european union banana market impact french overseas region agreement;14/12/2016;;;
Louis Michel;ALDE;BE;writing voted favour report setting necessary amendment eucolombia peru trade agreement order account ecuador accession agreement enter force 1 january 2017 essential ecuador stimulate trade investment party contributing economic growth job creation allow ecuador enter regional global economy asymmetric agreement designed contribute development ecuador provides progressive liberalisation custom duty period 17 year ecuador benefit better access european market fishery product cut flower coffee cocoa fruit coca fruit banana recognised preferential rate result stabilization mechanism case party agreement agreement ecuador able better advantage opportunity offered international trade;14/12/2016;;;
Marlene Mizzi;PES;MT;eu ecuador concluded negotiation accession 17 july 2014 traderelated problem ecuador colombiaperu protocol accession approved trade policy council 8 february 2016 mean adoption procedure accelerated ecuador start benefiting fta 1 january 2017 temporary trade preference granted eu expire voted favour proposal establish necessary modification trade agreement account accession ecuador essential;14/12/2016;;;
Csaba Molnar;PES;HU;writing hand european union member state colombia peru 2012 trade agreement established 11 december 329 article ensures possibility accession andean community agreement european union ecuador 2014 closed accession negotiation 17 july council adopted draft decision commitment protocol ecuador accession union parliament agreement adopted adopt report international trade commission parliament urge parliament understand obligation protocol voted accordance;14/12/2016;;;
Bernard Monot;ENF;FR;writing report call ecuadorian accession eucolombia trade agreement peru 2012 high custom duty deleted liberalised service market protected igps open public market environmental labour standard imposed ecuadorian fishing longer custom duty ecuador according eu benefit new considerable access european union banana market 90 cent custom duty agricultural line deleted 17 year detrimental producer baltic sea region banana important source income vote;14/12/2016;;;
Sophie Montel;ENF;FR;writing report call ecuadorian accession eucolombia trade agreement peru 2012 ecuador intermediate income country longer spg agreement high custom duty deleted liberalised service market protected igps open public market environmental labour standard imposed ecuadorian fishing longer custom duty ecuador according eu benefit new considerable access european union banana market 90 cent custom duty agricultural sector deleted 17 year detrimental producer baltic sea region banana important source income voting;14/12/2016;;;
Claude Moraes;PES;UK;voted favour report introduces amendment commission proposal particular respect increased transparency making triggering stabilisation mechanism automatic certain threshold called commission council draft joint declaration annex resolution maintain stabilisation mechanism 2019 deterioration state market situation european producer occurred danger occurring;14/12/2016;;;
Nadine Morano;EPP;FR;writing voted favour text approving ecuador accession trade agreement eu colombia peru eu exporter save eur 100 million custom duty annually;14/12/2016;;;
Victor Negrescu;PES;RO;26 june 2012 trade agreement eu colombia peru signed voted recommendation consideration accession ecuador trade agreement;14/12/2016;;;
Franz Obermayr;ENF;AT;writing support present agreement firstly significant effect european union ecuador covered economic development potential;14/12/2016;;;
Urmas Paet;ALDE;EE;writing toetasin agreement provides progressive opening market good service shelter investment including abolition tariff enables ecuador maintain access eu market situation acceptable ecuador higher income classification world bank time economic situation country quite difficult addition agreement chapter trade sustainable development containing ambitious provision field employment environmental protection aim ensuring predictable stable environmental condition investor business agreement allow party develop closer bilateral relation increase economic political integration andean region enable euecuador strengthen political dialogue based respect democratic principle fundamental right;14/12/2016;;;
Maite Pagazaurtundua Ruiz;ALDE;ES;writing trade agreement european union colombia peru signed 26 june 2012 article 329 trade agreement provides possibility accession member state agreement union ecuador concluded negotiation accession 17 july 2014 ecuador currently facing difficult economic situation called terrible earthquake recently suffered end year lose ppg preferential status urgent trade agreement enter force soon possible economic cooperation friendship relation ecuador spain fruitful support recommendation desire extend effect union;14/12/2016;;;
Demetres Papadakes;PES;CY;writing trade agreement european union member state respectively colombia peru signed brussels 26 june 2012 eu parliament adopted legislative resolution approving conclusion agreement 20 november 2015 european parliament adopted resolution accession isoday agreement expressed satisfaction completion negotiation encouraged rapid entry force implementation agreement thinking allow today continue new guideline toning country sustainable economic social development policy context complex region state reason european parliament resolution accession year trade agreement prevented government day taking account plan action submitted colombia peru taking appropriate measure taken vote parliament accession day trade agreement voted favour report underline necessary amendment trade agreement account accession isoday;14/12/2016;;;
Aldo Patriciello;EPP;IT;writing voted favour colleague proposal believe entry force trade agreement european union member state hand colombia peru ecuador bring great economic benefit fact ecuador facing difficult situation oil price gap 60 dollar reassessment currency valuation country addition ecuadorian people severely damaged earthquake 78 caused 673 victim 27 732 injured believe light fact entry force trade agreement great importance ecuador expressed positive vote;14/12/2016;;;
Eva Paunova;EPP;FR;voted favour agreement provides better stringent information based reliable statistic trend import banana country eu particular volume import reach 80 threshold commission inform ep council giving analysis impact import;14/12/2016;;;
Marijana Petir;EPP;HR;pressed accession ecuador trade agreement european union member state hand colombia peru major step forward eu relation ecuador important eu regional partner shared similar view agreement provides gradual opening market good service public procurement investment including abolition price enables ecuador maintain privileged access eu market meet condition osp world bank established country higher average income addition agreement contains chapter trade sustainable development containing ambitious regulation protection worker environment seek ensure predictable stable condition investor party agreement enable party develop closer bilateral relation serve incentive economic political integration world region provide opportunity improve eu political dialogue ecuador basis respect democratic principle fundamental right support proposal contributes better relationship eu member state ecuador;14/12/2016;;;
Tonino Picula;PES;HR;pressed trade agreement european union member state colombia peru provides possibility access member country andean community spring 2015 european parliament adopted resolution ecuador accession agreement welcomed conclusion earlier negotiation encouraged step strength reform policy economic social sustainable development ecuador currently difficult economic situation government revenue insufficient financial need average decrease oil price dollar value ecuador total export decreased 29 2015 addition year country suffered 78year drop power cost recovery estimated billion dollar access agreement brings numerous economic political advantage ensures compliance implementation international agreement agreement field labour law environmental protection competent institution closely monitor political situation situation fundamental right country report regularly european parliament implementation agreement agreement enable party develop closer bilateral relation serve incentive integration world region;14/12/2016;;;
Joao Pimenta Lopes;GUE/NGL;PT;writing recommendation report proposes extend trade agreement eu colombia peru ecuador initial objective establish agreement country andean community stage negotiation ended restricting colombia peru ecuador bolivia opposed finally abandoned eu intention conclude free trade agreement contravenes trade vision development free trade agreement contrary economic social policy ecuadorian government carried serf weapon song aimed destabilizing founding country mercosul trade agreement neocolonial nature aim privatization exploitation natural resource deregulation world work condition economic social policy country agreement large european economic group win industry service exporter machinery motor vehicle transport equipment chemical product service group telecommunication construction distribution financial service basis opportunity colonise market;14/12/2016;;;
Miroslav Poche;PES;CZ;writing supported ecuador agreement access trade agreement concluded european union 2012 presentday state colombia peru consider agreement important step deepening relation eu ecuador simple term trade side agreement remove custom duty industrial product fishery product increased access agricultural product market improved access public procurement service sure europe benefit agreement open investment space november 2015 european parliament welcomed conclusion agreement ecuador supported rapid entry force agreement called ecuador intensify effort ensure access education combat child labour complex enjoyment woman right view fact ecuador presented year action plan policy success step ensure good living condition pleased ecuador visible progress meeting obligation regard labour law human right;14/12/2016;;;
Tomasz Piotr Poreba;ECR;PL;writing trade agreement european union colombia peru signed brussels 26 june 2012 provision applied basis article 330 agreement european union peru 1 march 2013 european union colombia 1 august 2013 article 329 trade agreement provided possibility accession agreement member state andean community 17 july 2014 european union ecuador concluded negotiation accession agreement 31 december 2016 gsp status evaluator situation ecuador benefit gsp profit resulting trade agreement distort trade detrimental ecuadorian economy agreement step forward line important similar world view rapidly developing country region increasingly moving asia pacific supported report;14/12/2016;;;
Franck Proust;EPP;FR;writing voted favour inclusion ecuador agreement established colombia peru vote failed place fact colleague tokia saifi maurice ponga fighting moment agreement security mechanism banana sector ecuador producer banana world given preferential access european market respect producer antilleans particular need protected wanted agreement price waiting protect principle agreement sure need protected ratify exception necessary mobilize group battle protection sector france voice heard surveillance banana sector;14/12/2016;;;
Paulo Rangel;EPP;PT;writing trade agreement european union member state hand colombia peru signed brussels 26 june 2012 open agreement meaning article 329 trade agreement provides possibility accession member state andean community ecuador accession trade agreement colombia peru progressive flexible implementation significant step forward alliance country growth market sensitivity protocol allow increase improvement eu relation south american country fact inclusion ecuador said trade agreement environment conducive bonding ecuador andean country vote favourable;14/12/2016;;;
Julia Reid;EFDD;UK;ukip meps abstained simple technical update reflect fact ecuador party certain part agreement feel strong need vote tidying exercise;14/12/2016;;;
Liliana Rodrigues;PES;PT;writing 20 november 2015 european parliament adopted resolution ecuador accession trade agreement welcome conclusion negotiation ecuador encourages rapid entry force implementation agreement considering allow ecuador pursue policy aimed promoting sustainable economic social development difficult regional international context remember economically ecuador faced difficult situation strong drop oil price 60 2015 2015 ecuador total export recorded decrease 29 mainly decline oil export 50;14/12/2016;;;
Inmaculada RodriguezPinero Fernandez;PES;;writing supported ecuador accession european union trade agreement colombia peru union continue tariff preference far granted raising average income country lost export people country january welcome fact agreement includes ambitious commitment union ecuador sustainable development human right labour environment used promote bilateral trade sense ecuador committed good reform continue agreement worked hard ecuador ensure export capacity banana sector damage european region like canary island depend heavily culture agreement undoubtedly help strengthen improve relationship europe latin america defend spanish socialist close meeting commitment support ecuador reform instrument available union;14/12/2016;;;
Claude Rolin;EPP;BE;writing trade negotiation european union colombia ecuador peru started january 2009 negotiation ecuador took place 17 july 2014 virtue agreement ecuador retain preferential access european union market lost result reform eu preference voted favour recommendation provides vital agreement economy country strongly affected fall oil price export high cost reconstruction earthquake year remembered disaster caused death 673 people injured ten thousand;14/12/2016;;;
Bronis Rope;Greens/EFA;LT;write ecuador accession eucolombia peru trade treaty healthy decision undoubtedly help european producer participate south american market time like point report consideration includes necessary european banana protection measure reason european agricultural sector cotton grower pay attention representative right group question assessed basis main focus number remote island banana negotiation particular time intellectual effort invest overall improvement content agreement closer link provision human right freedom ecuador;14/12/2016;;;
Fernando Ruas;EPP;PT;writing voted favour consent procedure seek account ecuador accession trade agreement eu member state hand colombia peru given fact provision trade agreement allow member state join andean community ecuador bolivia hoped completion process ecuador continue policy stimulate economic social labour environmental growth development sustainable manner ecuador world largest banana exporter accession agreement relevant impact community producer particularly outermost region case autonomous region madeira portugal reason quite satisfied conclusion trilogue day followup proposal submitted parliament amendment regulation 19 202013 order ensure effective compensationstabilization ofthe banana market avoid unnecessary disturbance european market safeguard relatively precise position european producer trans peripheral region portugal spain france;14/12/2016;;;
Tokia Saifi;EPP;FR;writing voted favour text represents ratification european parliament trade agreement eu member state hand colombia peru order account ecuador accession agreement allow elimination custom duty product agreement fully implemented estimated eu exporter save 106 million euro year custom duty note eu geographical indication protected ecuadorian market concerned impact agreement european banana producer ecuador global banana producer assured thanks presence trilogue closely accompanied safeguard clause stability mechanism banana provision enable obtain better information support producer event market disturbance;14/12/2016;;;
Sven Schulze;EPP;DE;writing agree ecuador accession trade agreement eu member state hand colombia peru ecuador accession help country develop large number initiative taken course accession negotiation eliminated barrier market access contribution contribute strengthening economic relation agreement enhancing integration area;14/12/2016;;;
Maria Lidia Senra Rodriguez;GUE/NGL;ES;writing voted ecuador accession eucolombiaperu trade agreement understanding substantial change agreement continues based free trade logic deregulation privatization exploitation natural resource oppose eucolombiaperu agreement continue reject relationship model free trade agreement account economic asymmetry seek open new market benefit multinational company agreement based complementarity cooperation sustainable sustainable development centrally aimed ending inequality welcome fact union submits country current tariff policy condition development cooperation fund linked signature trade agreement support government ecuador policy implemented development living model based greater control state strategic sector economy believe social achievement possible logic laid agreement;14/12/2016;;;
Remo Sernagiotto;ECR;IT;writing ecuador currently facing difficult situation economic profile factor including assessment currency neighbouring country oil price gap dollar reassessment cost reconstruction equal 30 gdp following earthquake caused 673 victim april nearly 28 000 injured ecuador accession trade agreement european union colombia peru allow country forward order integrate world economy strengthen growth increase wellbeing improve living condition citizen decided vote favour agreement;14/12/2016;;;
Jill Seymour;EFDD;UK;abstained report wish eu manage trade deal;14/12/2016;;;
Sion Simon;PES;UK;today voted favour conclusion protocol proposal establishes necessary modification trade agreement account accession ecuador;14/12/2016;;;
Davor Skrlec;Greens/EFA;HR;pressed decided remain line report explanation vote given criticism existing evaluation work representative european parliament solely basis statistical number parliamentary activity authorised croatia fact reflect actual quality quantity work effectiveness greater success representation;14/12/2016;;;
Monika Smolkova;PES;SK;writing 2012 trade agreement eu colombia peru agreement provides possibility accession extended andean community member state comforting able conclude accession agreement union ecuador complex regional international condition economics country suffered severe fall price opium recorded decrease 60 2015 ecuadorian economy negative impact strengthening dollar weakening mine colombia ecuador total export decreased 29 2015 signed insufficient revenue cover government financial us result economic problem country accelerated year destructive earthquake strength richter scale 78 degree death 673 jew thousand wounded ecuadorian government estimate cost reconstruction approximately 3 billion contrary supported ecuador accession trade agreement believe step forward advance country order break commitment debt agreement sustain sustained growth necessary monitor uptake;14/12/2016;;;
Michaela Sojdrova;EPP;CZ;writing supported proposal council decision concerning conclusion protocol accession trade agreement european union member state colombia peru regard ecuador accession behalf union conclusion trade agreement lead gradual opening market good service public procurement investment eu ecuador abolition custom duty agreement improve ecuador access eu market consider tool contribute increase standard living ecuador particular regard ecuador postmortem situation april 2016 result decline oil price dollar positive contribution trade agreement account ecuador obligation protect worker protection environment associated ecuador accession trade agreement welcome opening dialogue future economic political integration particular regard possible improvement freedom speech press ecuador severely limited 2013 adoption controversial medium law;14/12/2016;;;
Bart Staes;Greens/EFA;BE;writing 2012 european union 28 member state concluded trade agreement colombia peru want ecuador join ecuadorian government feel internal pressure actor refused join economic benefit green voted conclusion agreement colombia peru absolutely argument leftwing rapporteur ideological point view want support left government ecuador civil society ecuador broad ranging environmental organisation farmer organisation express specifically course affair miliugo fear accession step return output model particular meet indigenous population smaller farmer nt really support economic model voted conviction;14/12/2016;;;
Ivan Stefanec;EPP;SK;writing trade europe dream larger country bring new job profit company help transform european standard past ecuador european commercial diplomacy small step hand democratic reform enforcement jewish law;14/12/2016;;;
Dubravka Suica;EPP;HR;pressed accession ecuador agreement trade european union member state hand colombia peru onthe represents major step eu relation ecuador agreement provides opening market good service government procurement investment addition agreement contains chapter trade sustainable development including ambitious work regulation environmental protection aim ensure predictable stable condition investor support agreement increase eu presence south america finalise regional dimension andean state connected union;14/12/2016;;;
Patricija Sulin;EPP;SL;font voted favour recommendation basis council decision accession trade agreement european union member state hand colombia peru account ecuador accession support ecuador approach trade agreement eu colombia peru deepen relation signatory enable ecuador develop sustainable economic social development policy course proposing regular evaluation consultation ecuadoran government civil society;14/12/2016;;;
Eleutherios Sunadinos;NI;EL;writing eu intervention country exchangea commitment conclusion trade agreement;14/12/2016;;;
Jozsef Szajer;EPP;HU;writing trade agreement european union member state colombia peru 2012 signed brussels 26 june certain provision agreement 330 accordance article 1 regulation eu 13062013 european union peru march 1st european union colombia 2013 august 1 used trade agreement 329 article provides possibility accession andean community member state agreement european union ecuador 2014 closed accession negotiation 17 july 2015 20 november european parliament adopted resolution accession ecuador trade agreement 20152656 rsp urged ecuadorian government similar measure line action plan submitted colombia peru following reservation rapporteur visited ecuador march 2016 view fact agreement given parliament important note monitoring evaluation existing agreement key priority common trade policy commission obliged inform parliament implementation verification agreement regard phoenician supported extension vote;14/12/2016;;;
Tibor Szanyi;PES;HU;writing voted favour signing european parliament protocol supplementing bilateral trade agreement eu member state colombia peru applies ecuador context cooperation andeans taken view ecuadorian economy currently struggling problem oil cut receive irreparable support contribute stability country area unconfirmed political situation furthermore end 2016 eu regulation ecuador benefited adoption favourable gsp absence second agreement trade country country government struggling economic financial consequence timeconsuming waste politically agreement contribute closer response bilateral dialogue problem facing european union ecuador lack public freedom;14/12/2016;;;
Adam Szejnfeld;EPP;PL;writing accession ecuador agreement trade european union member state hand colombia peru important step development euecuador relation essential regional partner similar approach contract provides gradual opening market good service public procurement investment including majority tariff enables ecuador maintain access eu market preferential principle longer eligible gsp programme given fact world bank reclassified country higher average income addition contract includes division dedicated trade sustainable development ambitious labour environment protection provision established aimed ensuring predictable stable environmental condition investor entity side agreement allow party develop closer bilateral relation source incentive economic political integration andean region provide opportunity euecuador policy dialogue strengthened basis respect democratic principle fundamental right;14/12/2016;;;
Claudia Tapardel;PES;RO;writing european union main player free trade worldwide context eu concluded recent year series free trade agreement certain country world common economic colombia peru country commission signed respective agreement 2012 document approved european parliament november 2015 parliament adopted resolution ecuador accession trade agreement allow country manage complex regional international context including oil price decline dollar appreciation total export fall 29 government revenue quito 16 april 2016 earthquake 78 affected ecuador fighting 673 death 27 732 injury 31 december 2016 following amendment eu regulation ecuador lose sgp statute condition accession country eu free trade agreement colombia peru reduce ecuador economic problem contribute increasing trade important region world consider necessary adopt recommendation;14/12/2016;;;
Marc Tarabella;PES;BE;writing approved ecuador accession trade agreement european union member state hand colombia peru insist monitoring evaluation monitoring existing agreement absolute priority common commercial policy commission obliged inform parliament activity implementation monitoring followup agreement particular regard sustainable development obligation highlighted european parliament resolution 20 november 2015;14/12/2016;;;
Pavel Telicka;ALDE;CZ;negotiation eu trade agreement andean country started 2009 colombia peru latest addition agreement trade agreement allow party involved develop closer bilateral relation serve impetus eu economic political integration andean region agreement way enhancing eu political dialogue ecuador colombia based respect democratic principle fundamental right voted favour recommendation believe eu andean community benefit closer collaborative tie;14/12/2016;;;
Isabelle Thomas;PES;FR;writing contrast commercial agreement ecuador protocol accession take account specific need developing country expected ecuadorian market open 60 age 17 compared 95 european market important step design european union trade policy ensure fair exchange destroy partner economy development lead destruction fragile european production deepening tariff demarcation banana trade agreement represents risk destabilization economy eu outermost region french doms particularly attached defence economy territory subject social environmental regional individual factor careful impact commercial agreement territory safeguard clause protection banana production price reduction provided type agreement automatic long place result decided vote text;14/12/2016;;;
Ivica Tolic;EPP;HR;pressed support proposal resolution agreement trade eu colombia peru access ecuador view signing trade agreement eucolombia peru agreement 26 june 2012 year force march 2013 year article 329 trade agreement provides possibility accession country eu ecuador conclude negotiation 17 august 2014 year agreement make possible european union benefit presence south america ecuador accession create greater integration existing partner european union appropriate action combat negative trend south america pacific;14/12/2016;;;
Ruza Tomasic;ECR;HR;pressed supported proposal conclusion protocol accession agreement trade european union colombia peru taking account ecuador accession considering adoption protocol important step forward relation country latin america rapid entry force agreement enable ecuador continue economic social sustainable development addition development close bilateral relation political dialogue agreement provides gradual opening market slavery service public procurement investment including abolition custom duty decline oil price economic condition fall april ecuador currently difficult economic situation believe implementation agreement great benefit recovery progress economy;14/12/2016;;;
Romana Tomc;EPP;SL;font constitution european parliament legislative resolution access trade agreement eu colombia peru hand order account ecuador approach supported trade agreement european union member state signed hand colombia peru 26 june 2012 brussels ecuador currently poor economic position current drop oil price 60 value dollar currency colombia april year ecuador suffered severe earthquake 672 people lost life 27 thousand wounded cost reimbursed 3 billion increase additional burden end year lose status beneficiary trade agreement eu negative impact economy recommended parliament approve ecuador approach trade agreement eu member state hand colombia peru onthe important step forward relation ecuador important similar regional partner;14/12/2016;;;
Kazimierz Michal Ujazdowski;ECR;PL;writing trade agreement european union colombia peru signed brussels 26 june 2012 agreement step forward line important similar world view rapidly developing country region increasingly moving asia pacific trade relation positive effect party voted favour accession agreement;14/12/2016;;;
Istvan Ujhelyi;PES;HU;writing trade agreement european union member state colombia peru 2012 brussels 26 june trade agreement 329 article ensures possibility accession andean community agreement supported voice;14/12/2016;;;
Miguel Urban Crespo;GUE/NGL;ES;writing inevitable low oil price dollar saving make economic political cohesion difficult ecuador context loss tariff preference threatens shortterm economy ecuador electoral victory emancipating project february understand shortterm government ecuador obtaining oxygen balloon intended nonincreasing tariff export agreement contains longlasting element lay foundation unequal trade relationship agreement union promoting foundation permanent trade established defend case voted;14/12/2016;;;
Ernest Urtasun;Greens/EFA;ES;voted ecuador accession main reason political group voted trade agreement 2012 text changed addition sector ecuadorian government responsible ecuadoran vivir model environmental ngo opposed accession today fta accession indigenous people small farmer environmentalist grassroots activist fear return previous resource depletion model vivir model guaranteed better redistribution wealth access school health system strong decrease poverty rate factor highly praised cepal economic commission latin america national researcher activist saw ecuadorian model path follow lead away dependence monocultural exploitation voted favour accession meant abandoning support attempt create different economic model peripheral country additional strong argument accession agreement fundamentally unchanged open tax dodging money laundering short run export company win course globally labour right sector said best;14/12/2016;;;
Viktor Uspaskich;ALDE;LT;write accession ecuador trade agreement colombia peru gradual flexible implementation agreement commission setting stage taking account periodic assessment consultation ecuador government civil society country concerned step forward achieving alliance important lonely rapidly growing country region seeking closer link asian pacific state;14/12/2016;;;
